fecha,titulo,ranking_real,ranking_pred,V,prob_rank1
2013-04-06,Madness,45,23,2.300535,0.019867
2013-04-06,Home,46,27,2.300535,0.019867
2013-04-06,Diamonds,47,26,2.300535,0.019867
2013-04-06,One More Night,48,24,2.300535,0.019867
2013-04-06,Get Your Shine On,49,41,2.276043,0.019387
2013-04-06,I Drive Your Truck,50,37,2.291063,0.01968
2013-04-13,Thrift Shop,1,1,2.373343,0.021304
2013-04-13,When I Was Your Man,2,30,2.303274,0.019862
2013-04-13,Suit & Tie,3,12,2.352983,0.020874
2013-04-13,Harlem Shake,4,47,2.25216,0.018872
2013-04-13,Just Give Me A Reason,5,19,2.311965,0.020035
2013-04-13,Stay,6,15,2.326773,0.020334
2013-04-13,Radioactive,7,21,2.303274,0.019862
2013-04-13,Started From The Bottom,8,43,2.267884,0.019171
2013-04-13,Feel This Moment,9,13,2.347145,0.020753
2013-04-13,The Way,10,50,2.132565,0.016745
2013-04-13,Mirrors,11,46,2.255942,0.018944
2013-04-13,I Knew You Were Trouble.,12,24,2.303274,0.019862
2013-04-13,Daylight,13,31,2.303274,0.019862
2013-04-13,Love Me,14,10,2.353029,0.020875
2013-04-13,Can't Hold Us,15,14,2.335189,0.020506
2013-04-13,Scream & Shout,16,2,2.373343,0.021304
2013-04-13,Heart Attack,17,49,2.226736,0.018399
2013-04-13,Sweet Nothing,18,7,2.373343,0.021304
2013-04-13,Locked Out Of Heaven,19,20,2.303274,0.019862
2013-04-13,Pour It Up,20,35,2.297245,0.019743
2013-04-13,F**kin Problems,21,3,2.373343,0.021304
2013-04-13,Carry On,22,36,2.297245,0.019743
2013-04-13,Ho Hey,23,23,2.303274,0.019862
2013-04-13,I Love It,24,16,2.325717,0.020313
2013-04-13,Don't You Worry Child,25,5,2.373343,0.021304
2013-04-13,I Will Wait,26,6,2.373343,0.021304
2013-04-13,My Songs Know What You Did In The Dark (Light Em Up),27,45,2.263683,0.019091
2013-04-13,It's Time,28,22,2.303274,0.019862
2013-04-13,Troublemaker,29,11,2.353029,0.020875
2013-04-13,Wagon Wheel,30,40,2.282481,0.019453
2013-04-13,Bad,31,17,2.317343,0.020143
2013-04-13,Little Talks,32,4,2.373343,0.021304
2013-04-13,22,33,33,2.300535,0.019808
2013-04-13,Sure Be Cool If You Did,34,38,2.291063,0.019621
2013-04-13,Bugatti,35,34,2.29844,0.019766
2013-04-13,Downtown,36,44,2.263683,0.019091
2013-04-13,Catch My Breath,37,29,2.303274,0.019862
2013-04-13,Mama's Broken Heart,38,41,2.280642,0.019418
2013-04-13,Girl On Fire,39,8,2.373343,0.021304
2013-04-13,Sail,40,42,2.280642,0.019418
2013-04-13,Poetic Justice,41,9,2.373343,0.021304
2013-04-13,Get Your Shine On,42,39,2.28286,0.019461
2013-04-13,Try,43,28,2.303274,0.019862
2013-04-13,Gangnam Style,44,27,2.303274,0.019862
2013-04-13,Alive,45,48,2.25216,0.018872
2013-04-13,Madness,46,26,2.303274,0.019862
2013-04-13,I Drive Your Truck,47,37,2.29501,0.019699
2013-04-13,Power Trip,48,18,2.311965,0.020035
2013-04-13,One More Night,49,25,2.303274,0.019862
2013-04-13,Home,50,32,2.303274,0.019862
2013-04-20,When I Was Your Man,1,23,2.305552,0.019771
2013-04-20,Thrift Shop,2,1,2.375705,0.021208
2013-04-20,Just Give Me A Reason,3,20,2.322,0.020099
2013-04-20,Stay,4,16,2.335189,0.020366
2013-04-20,Suit & Tie,5,12,2.35706,0.020817
2013-04-20,Harlem Shake,6,47,2.261882,0.018927
2013-04-20,Can't Hold Us,7,15,2.342221,0.02051
2013-04-20,Cruise,8,2,2.375705,0.021208
2013-04-20,Started From The Bottom,9,43,2.276043,0.019197
2013-04-20,Feel This Moment,10,13,2.353029,0.020733
2013-04-20,Radioactive,11,29,2.305552,0.019771
2013-04-20,Mirrors,12,46,2.265684,0.018999
2013-04-20,Love Me,13,10,2.357934,0.020835
2013-04-20,Daylight,14,30,2.305552,0.019771
2013-04-20,Heart Attack,15,49,2.240557,0.018527
2013-04-20,I Knew You Were Trouble.,16,28,2.305552,0.019771
2013-04-20,I Love It,17,17,2.332715,0.020316
2013-04-20,Scream & Shout,18,7,2.375705,0.021208
2013-04-20,Locked Out Of Heaven,19,22,2.305552,0.019771
2013-04-20,Ho Hey,20,24,2.305552,0.019771
2013-04-20,Sweet Nothing,21,3,2.375705,0.021208
2013-04-20,The Way,22,50,2.210381,0.017977
2013-04-20,Carry On,23,36,2.300535,0.019673
2013-04-20,Wagon Wheel,24,40,2.28721,0.019412
2013-04-20,I Will Wait,25,5,2.375705,0.021208
2013-04-20,Don't You Worry Child,26,6,2.375705,0.021208
2013-04-20,My Songs Know What You Did In The Dark (Light Em Up),27,45,2.271824,0.019116
2013-04-20,F**kin Problems,28,4,2.375705,0.021208
2013-04-20,Sure Be Cool If You Did,29,38,2.29501,0.019564
2013-04-20,Pour It Up,30,35,2.300535,0.019673
2013-04-20,Bad,31,18,2.325717,0.020174
2013-04-20,Troublemaker,32,11,2.357934,0.020835
2013-04-20,It's Time,33,26,2.305552,0.019771
2013-04-20,22,34,34,2.303274,0.019726
2013-04-20,Mama's Broken Heart,35,41,2.286325,0.019395
2013-04-20,Downtown,36,44,2.271824,0.019116
2013-04-20,Little Talks,37,8,2.375705,0.021208
2013-04-20,Bugatti,38,21,2.308403,0.019828
2013-04-20,Get Your Shine On,39,39,2.288549,0.019438
2013-04-20,Alive,40,48,2.261882,0.018927
2013-04-20,Catch My Breath,41,27,2.305552,0.019771
2013-04-20,Highway Don't Care,42,14,2.345107,0.020569
2013-04-20,Power Trip,43,19,2.322,0.020099
2013-04-20,Sail,44,42,2.286325,0.019395
2013-04-20,Madness,45,31,2.305552,0.019771
2013-04-20,Poetic Justice,46,9,2.375705,0.021208
2013-04-20,Try,47,25,2.305552,0.019771
2013-04-20,Gangnam Style,48,32,2.305552,0.019771
2013-04-20,One More Night,49,33,2.305552,0.019771
2013-04-20,I Drive Your Truck,50,37,2.298297,0.019629
2013-04-27,Just Give Me A Reason,1,18,2.330395,0.020522
2013-04-27,Thrift Shop,2,1,2.37767,0.021516
2013-04-27,When I Was Your Man,3,24,2.307446,0.020057
2013-04-27,Stay,4,15,2.342221,0.020766
2013-04-27,Can't Hold Us,5,14,2.34809,0.020889
2013-04-27,Suit & Tie,6,11,2.360455,0.021149
2013-04-27,Mirrors,7,40,2.273833,0.019394
2013-04-27,Feel This Moment,8,12,2.357934,0.021095
2013-04-27,Started From The Bottom,9,37,2.28286,0.01957
2013-04-27,Heart Attack,10,43,2.25216,0.018978
2013-04-27,Cruise,11,2,2.37767,0.021516
2013-04-27,Gentleman,12,48,2.132565,0.016839
2013-04-27,Harlem Shake,13,42,2.270015,0.01932
2013-04-27,Radioactive,14,23,2.307446,0.020057
2013-04-27,Love Me,15,9,2.362022,0.021182
2013-04-27,I Love It,16,16,2.338554,0.02069
2013-04-27,Daylight,17,22,2.307446,0.020057
2013-04-27,Crash My Party,18,47,2.132565,0.016839
2013-04-27,I Knew You Were Trouble.,19,27,2.307446,0.020057
2013-04-27,Mama's Broken Heart,20,35,2.291063,0.019731
2013-04-27,Wagon Wheel,21,34,2.291149,0.019732
2013-04-27,Ho Hey,22,21,2.307446,0.020057
2013-04-27,Carry On,23,30,2.303274,0.019973
2013-04-27,Locked Out Of Heaven,24,25,2.307446,0.020057
2013-04-27,Highway Don't Care,25,13,2.352175,0.020974
2013-04-27,Power Trip,26,19,2.330395,0.020522
2013-04-27,Sweet Nothing,27,4,2.37767,0.021516
2013-04-27,Scream & Shout,28,3,2.37767,0.021516
2013-04-27,Downtown,29,39,2.278626,0.019487
2013-04-27,My Songs Know What You Did In The Dark (Light Em Up),30,38,2.278626,0.019487
2013-04-27,Bad,31,17,2.332715,0.02057
2013-04-27,22,32,28,2.305552,0.020019
2013-04-27,I Will Wait,33,8,2.37767,0.021516
2013-04-27,F**kin Problems,34,7,2.37767,0.021516
2013-04-27,Don't You Worry Child,35,6,2.37767,0.021516
2013-04-27,Sure Be Cool If You Did,36,31,2.298297,0.019874
2013-04-27,The Way,37,45,2.235545,0.018665
2013-04-27,Pour It Up,38,29,2.303274,0.019973
2013-04-27,Troublemaker,39,10,2.362022,0.021182
2013-04-27,Boys 'round Here,40,44,2.244113,0.018826
2013-04-27,Get Your Shine On,41,33,2.293293,0.019775
2013-04-27,Alive,42,41,2.270015,0.01932
2013-04-27,I Want Crazy,43,50,2.132565,0.016839
2013-04-27,Bugatti,44,20,2.316739,0.020244
2013-04-27,Come & Get It,45,49,2.132565,0.016839
2013-04-27,DONE.,46,46,2.232626,0.018611
2013-04-27,It's Time,47,26,2.307446,0.020057
2013-04-27,Sail,48,36,2.291063,0.019731
2013-04-27,Little Talks,49,5,2.37767,0.021516
2013-04-27,If I Didn't Have You,50,32,2.298297,0.019874
2013-05-04,Just Give Me A Reason,1,18,2.337409,0.02048
2013-05-04,Can't Hold Us,2,14,2.352983,0.020802
2013-05-04,Thrift Shop,3,1,2.379302,0.021357
2013-05-04,When I Was Your Man,4,23,2.30902,0.019907
2013-05-04,Gentleman,5,48,2.173411,0.017383
2013-05-04,Stay,6,15,2.34809,0.0207
2013-05-04,Mirrors,7,41,2.280642,0.01935
2013-05-04,Suit & Tie,8,11,2.36328,0.021017
2013-05-04,Feel This Moment,9,12,2.362022,0.020991
2013-05-04,Started From The Bottom,10,38,2.288549,0.019504
2013-05-04,Heart Attack,11,46,2.261882,0.018991
2013-05-04,Radioactive,12,22,2.30902,0.019907
2013-05-04,I Love It,13,16,2.343423,0.020604
2013-05-04,Cruise,14,2,2.379302,0.021357
2013-05-04,My Songs Know What You Did In The Dark (Light Em Up),15,40,2.284302,0.019421
2013-05-04,Love Me,16,10,2.365425,0.021062
2013-05-04,Harlem Shake,17,42,2.27681,0.019276
2013-05-04,Daylight,18,26,2.30902,0.019907
2013-05-04,Get Lucky,19,50,2.132565,0.016687
2013-05-04,Wagon Wheel,20,37,2.294429,0.019619
2013-05-04,Power Trip,21,19,2.337409,0.02048
2013-05-04,Come & Get It,22,49,2.167784,0.017285
2013-05-04,Carry On,23,29,2.305552,0.019838
2013-05-04,22,24,28,2.307446,0.019876
2013-05-04,I Knew You Were Trouble.,25,24,2.30902,0.019907
2013-05-04,Ho Hey,26,21,2.30902,0.019907
2013-05-04,Bad,27,17,2.338554,0.020504
2013-05-04,Mama's Broken Heart,28,35,2.29501,0.01963
2013-05-04,Sweet Nothing,29,3,2.379302,0.021357
2013-05-04,Locked Out Of Heaven,30,27,2.30902,0.019907
2013-05-04,Troublemaker,31,9,2.365425,0.021062
2013-05-04,The Way,32,47,2.255553,0.018871
2013-05-04,Downtown,33,39,2.284302,0.019421
2013-05-04,Scream & Shout,34,8,2.379302,0.021357
2013-05-04,Get Your Shine On,35,34,2.297245,0.019674
