,tau
1427,14
1428,11
1429,6
1430,6
1431,7
1432,14
1433,7
1434,9
1435,8
1436,0
1437,14
1438,10
1439,8
1440,14
1441,4
1442,14
1443,14
1444,12
1445,14
1446,12
1447,6
1448,14
1449,9
1450,11
1451,11
1452,3
1453,0
1454,13
1455,5
1456,1
1457,6
1458,1
1459,1
1460,1
1461,14
1462,11
1463,4
1464,3
1465,8
1466,2
1467,1
1468,10
1469,4
1470,0
1471,2
1472,14
1473,3
1474,14
1475,1
1476,1
1477,14
1478,7
1479,14
1480,14
1481,7
1482,5
1483,7
1484,8
1485,1
1486,14
1487,13
1488,1
1489,3
1490,2
1491,5
1492,12
1493,7
1494,4
1495,11
1496,0
1497,14
1498,10
1499,7
1500,10
1501,15
1502,12
1503,13
1504,8
1505,11
1506,8
1507,15
1508,14
1509,8
1510,8
1511,7
1512,10
1513,7
1514,15
1515,7
1516,10
1517,15
1518,15
1519,15
1520,15
1521,15
1522,15
1523,15
1524,13
1525,15
1526,15
1527,7
1528,8
1529,12
1530,7
1531,9
1532,15
1533,8
1534,10
1535,11
1536,15
1537,11
1538,15
1539,5
1540,15
1541,9
1542,15
1543,15
1544,15
1545,15
1546,1
1547,7
1548,15
1549,9
1550,12
1551,14
1552,4
1553,2
1554,14
1555,6
1556,0
1557,5
1558,15
1559,15
1560,2
1561,2
1562,2
1563,4
1564,2
1565,5
1566,15
1567,0
1568,1
1569,2
1570,3
1571,0
1572,7
1573,11
1574,12
1575,13
1576,5
1577,0
1578,3
1579,8
1580,1
1581,6
1582,2
1583,3
1584,11
1585,0
1586,8
1587,15
1588,12
1589,4
1590,2
1591,6
1592,15
1593,8
1594,4
1595,15
1596,8
1597,13
1598,12
1599,9
1600,16
1601,16
1602,15
1603,16
1604,9
1605,9
1606,16
1607,16
1608,9
1609,13
1610,0
1611,12
1612,2
1613,11
1614,8
1615,8
1616,0
1617,4
1618,16
1619,11
1620,8
1621,14
1622,9
1623,8
1624,14
1625,8
1626,16
1627,16
1628,9
1629,10
1630,13
1631,8
1632,11
1633,9
1634,6
1635,16
1636,16
1637,16
1638,16
1639,12
1640,10
1641,16
1642,0
1643,16
1644,11
1645,12
1646,16
1647,0
1648,13
1649,2
1650,0
1651,6
1652,5
1653,13
1654,7
1655,0
1656,3
1657,15
1658,3
1659,0
1660,16
1661,3
1662,2
1663,1
1664,0
1665,12
1666,0
1667,5
1668,6
1669,0
1670,15
1671,0
1672,0
1673,16
1674,0
1675,10
1676,16
1677,6
1678,1
1679,9
1680,12
1681,7
1682,14
1683,7
1684,3
1685,3
1686,5
1687,9
1688,4
1689,10
1690,13
1691,9
1692,5
1693,1
1694,16
1695,9
1696,14
1697,13
1698,3
1699,3
1700,17
1701,10
1702,3
1703,10
1704,17
1705,17
1706,12
1707,12
1708,13
1709,3
1710,12
1711,10
1712,17
1713,17
1714,17
1715,4
1716,9
1717,9
1718,8
1719,14
1720,17
1721,17
1722,17
1723,11
1724,15
1725,14
1726,9
1727,11
1728,17
1729,17
1730,1
1731,10
1732,9
1733,14
1734,12
1735,16
1736,10
1737,17
1738,17
1739,10
1740,13
1741,9
1742,17
1743,0
1744,13
1745,9
1746,1
1747,7
1748,17
1749,15
1750,5
1751,4
1752,10
1753,6
1754,17
1755,7
1756,17
1757,4
1758,2
1759,1
1760,3
1761,7
1762,0
1763,1
1764,2
1765,14
1766,11
1767,0
1768,6
1769,13
1770,17
1771,0
1772,5
1773,8
1774,0
1775,2
1776,4
1777,0
1778,10
1779,5
1780,1
1781,13
1782,4
1783,0
1784,14
1785,8
1786,6
1787,6
1788,16
1789,15
1790,4
1791,1
1792,10
1793,10
1794,1
1795,11
1796,4
1797,15
1798,14
1799,1
1800,0
1801,18
1802,13
1803,11
1804,13
1805,16
1806,18
1807,9
1808,18
1809,18
1810,3
1811,11
1812,18
1813,13
1814,16
1815,11
1816,10
1817,18
1818,18
1819,18
1820,4
1821,10
1822,2
1823,1
1824,18
1825,18
1826,12
1827,11
1828,18
1829,10
1830,18
1831,15
1832,13
1833,12
1834,18
1835,14
1836,11
1837,18
1838,11
1839,14
1840,5
1841,14
1842,4
1843,17
1844,10
1845,10
1846,2
1847,8
1848,10
1849,15
1850,5
1851,8
1852,4
1853,5
1854,0
1855,11
1856,8
1857,3
1858,18
1859,9
1860,1
1861,7
1862,11
1863,1
1864,3
1865,12
1866,18
1867,15
1868,5
1869,6
1870,0
1871,7
1872,11
1873,14
1874,1
1875,0
1876,1
1877,5
1878,6
1879,0
1880,2
1881,15
1882,14
1883,6
1884,17
1885,0
1886,7
1887,2
1888,15
1889,9
1890,5
1891,12
1892,16
1893,11
1894,5
1895,16
1896,7
1897,15
1898,2
1899,2
1900,19
1901,19
1902,12
1903,11
1904,19
1905,11
1906,14
1907,3
1908,10
1909,15
1910,4
1911,11
1912,17
1913,14
1914,19
1915,19
1916,17
1917,12
1918,1
1919,12
1920,14
1921,19
1922,12
1923,13
1924,5
1925,11
1926,11
1927,12
1928,19
1929,19
1930,13
1931,19
1932,19
1933,14
1934,12
1935,19
1936,9
1937,19
1938,3
1939,5
1940,15
1941,2
1942,12
1943,6
1944,11
1945,18
1946,15
1947,16
1948,6
1949,6
1950,3
1951,8
1952,6
1953,9
1954,17
1955,13
1956,10
1957,9
1958,15
1959,2
1960,2
1961,17
1962,4
1963,16
1964,12
1965,3
1966,4
1967,1
1968,1
1969,0
1970,1
1971,0
1972,19
1973,0
1974,5
1975,7
1976,3
1977,0
1978,16
1979,3
1980,3
1981,1
1982,7
1983,6
1984,15
1985,3
1986,16
1987,16
1988,18
1989,8
1990,2
1991,10
1992,16
1993,8
1994,6
1995,2
1996,2
1997,12
1998,13
1999,7
2000,20
2001,12
2002,15
2003,13
2004,4
2005,15
2006,20
2007,12
2008,20
2009,20
2010,16
2011,4
2012,5
2013,7
2014,20
2015,19
2016,7
2017,13
2018,18
2019,13
2020,11
2021,12
2022,19
2023,15
2024,13
2025,14
2026,12
2027,12
2028,20
2029,13
2030,4
2031,20
2032,20
2033,14
2034,20
2035,0
2036,10
2037,20
2038,13
2039,3
2040,13
2041,17
2042,16
2043,6
2044,7
2045,12
2046,16
2047,6
2048,3
2049,15
2050,4
2051,5
2052,18
2053,10
2054,3
2055,0
2056,3
2057,16
2058,1
2059,10
2060,11
2061,14
2062,7
2063,0
2064,0
2065,4
2066,5
2067,18
2068,2
2069,1
2070,0
2071,13
2072,4
2073,0
2074,9
2075,0
2076,14
2077,7
2078,3
2079,2
2080,16
2081,4
2082,17
2083,2
2084,9
2085,2
2086,8
2087,8
2088,18
2089,17
2090,11
2091,17
2092,3
2093,17
2094,9
2095,7
2096,17
2097,6
2098,0
2099,13
2100,6
2101,21
2102,18
2103,17
2104,8
2105,14
2106,12
2107,16
2108,5
2109,20
2110,21
2111,13
2112,21
2113,4
2114,16
2115,16
2116,17
2117,13
2118,5
2119,8
2120,20
2121,21
2122,18
2123,15
2124,13
2125,5
2126,13
2127,13
2128,21
2129,14
2130,21
2131,5
2132,21
2133,15
2134,4
2135,14
2136,21
2137,7
2138,11
2139,14
2140,7
2141,16
2142,14
2143,8
2144,1
2145,17
2146,3
2147,4
2148,5
2149,6
2150,3
2151,6
2152,15
2153,17
2154,2
2155,4
2156,1
2157,11
2158,11
2159,18
2160,10
2161,0
2162,8
2163,3
2164,12
2165,0
2166,0
2167,1
2168,5
2169,1
2170,0
2171,0
2172,13
2173,2
2174,9
2175,19
2176,4
2177,1
2178,14
2179,3
2180,19
2181,5
2182,10
2183,4
2184,9
2185,17
2186,19
2187,1
2188,7
2189,8
2190,10
2191,12
2192,18
2193,18
2194,18
2195,8
2196,0
2197,15
2198,14
2199,14
2200,6
2201,22
2202,4
2203,18
2204,7
2205,21
2206,1
2207,9
2208,15
2209,5
2210,8
2211,19
2212,17
2213,6
2214,14
2215,22
2216,9
2217,6
2218,22
2219,19
2220,22
2221,6
2222,0
2223,12
2224,15
2225,17
2226,14
2227,14
2228,5
2229,22
2230,6
2231,16
2232,15
2233,22
2234,22
2235,13
2236,5
2237,8
2238,18
2239,8
2240,15
2241,17
2242,9
2243,2
2244,14
2245,15
2246,21
2247,22
2248,16
2249,4
2250,6
2251,3
2252,18
2253,3
2254,12
2255,4
2256,5
2257,12
2258,15
2259,16
2260,0
2261,2
2262,2
2263,0
2264,0
2265,1
2266,10
2267,0
2268,11
2269,1
2270,7
2271,13
2272,0
2273,9
2274,15
2275,5
2276,19
2277,0
2278,14
2279,0
2280,14
2281,17
2282,11
2283,4
2284,2
2285,0
2286,9
2287,11
2288,10
2289,0
2290,13
2291,15
2292,5
2293,19
2294,2
2295,18
2296,9
2297,16
2298,19
2299,7
2300,7
2301,20
2302,16
2303,22
2304,6
2305,10
2306,14
2307,19
2308,7
2309,7
2310,5
2311,23
2312,8
2313,20
2314,10
2315,6
2316,23
2317,18
2318,18
2319,23
2320,16
2321,1
2322,2
2323,9
2324,18
2325,7
2326,17
2327,15
2328,6
2329,15
2330,23
2331,6
2332,7
2333,23
2334,17
2335,22
2336,16
2337,9
2338,23
2339,13
2340,1
2341,3
2342,16
